EngineIntakeAirFlowRate,EngineFuelFlowRate,EngineIntakePress,EngineTorque,Nox
136.1499939,3.150000095,4,40.94310313,280.2999878
136.3999939,2.400000095,4,40.97970784,280.2999878
137.0749969,3.25,4,27.30613505,280.2999878
136.375,2.400000095,4,40.94310313,280.2999878
136.375,3.25,4,27.25061545,280.2999878
136.1499939,2.400000095,4,27.24575603,280.2999878
136.375,3.200000048,4,27.24769912,280.2999878
134.5,2.349999905,4,27.2827292,280.2999878
131.2250061,3.049999952,4,40.95041884,280.2999878
129.6000061,2.349999905,4,27.29345219,280.2999878
130.0500031,3.150000095,4,27.31003873,280.2999878
129.3500061,2.349999905,4,40.92994286,280.2999878
129.8249969,3.150000095,4,40.91532868,280.2999878
130.0500031,2.349999905,4,27.29247616,280.2999878
130.7749939,3.150000095,4,27.30808675,280.2999878
130.5249939,2.349999905,4,40.98263833,280.2999878
130.5249939,3.150000095,4,40.94310313,280.2999878
130.5249939,2.400000095,4,40.94310313,280.2999878
131.2250061,3.150000095,4,27.28467993,280.2999878
130.2749939,2.349999905,4,40.93432986,280.2999878
133.3249969,3.150000095,4,40.91094574,280.2999878
26.70000076,0,0,0,0
42.17499924,0,0,704.7451255,0
45.92499924,0,0,635.0321758,0
59.97499847,3.5,0,571.8997596,0
99.80000305,3.5,0,565.5700493,0
142.25,3.5,0,504.1534364,0
179.0500031,6.199999809,0,422.0461557,0
210.8999939,5.25,0,408.2531606,0
241.1499939,7.650000095,0,399.8464745,0
270.4500122,7.449999809,0,434.6276707,0
303.9750061,11.39999962,0,340.9098536,0
313.5499878,7.449999809,0,0,0
309.7999878,1.200000048,0,0,0
287.7999878,1.299999952,0,0,0
283.1000061,0.899999976,0,0,0
279.5750122,1.149999976,0,0,0
276.7749939,1.200000048,0,0,0
275.6000061,0.949999988,0,0,0
272.5750122,1.649999976,0,0,0
268.5750122,2.099999905,0,0,0
262.4750061,1.75,0,0,0
251.2250061,2.400000095,6,0,0
242.7749939,1.799999952,6,0,0
230.6000061,2.450000048,6,0,0
222.3999939,1.950000048,6,27.48691086,0
217.25,3.049999952,6,41.3240386,0
216.7749939,2.599999905,8,55.03322504,0
215.8249969,3.5,8,54.97382171,0
217.25,2.599999905,8,41.2214695,0
215.3500061,3.349999905,8,55.02727796,0
213.25,2.549999952,8,55.09871813,0
209.5,2.650000095,10,69.02274366,0
204.5749969,3.650000095,10,69.05518859,0
198.9499969,2.799999952,10,69.03771633,0
193.8249969,3.700000048,10,68.93554655,0
192.1499939,2.799999952,10,68.89575592,0
189.8249969,3.799999952,10,82.52605596,0
187.4750061,2.799999952,10,68.78905721,0
183.0249939,3.700000048,10,68.77914447,0
180.4499969,2.700000048,10,82.49338495,0
174.6000061,3.650000095,10,82.44590043,0
170.8500061,2.75,10,82.39551251,0
164.5,3.700000048,10,68.66539815,0
160.0749969,2.700000048,10,82.34518614,0
154.4250031,3.599999905,10,82.28014866,0
150.9250031,2.700000048,10,82.21815894,0
146.2250061,3.599999905,8,82.16804893,0
141.3000031,2.700000048,8,68.54463926,0
130.7749939,2.799999952,8,82.21815894,0
130.5249939,3.75,6,82.3363097,0
131.2250061,2.849999905,6,96.30468009,0
131.9250031,3.049999952,6,111.1029311,0
130.7749939,4.349999905,6,140.0395402,0
130.3000031,3.549999952,6,170.0423726,0
133.8249969,5.349999905,6,185.312511,0
138.4750061,4.400000095,6,214.3581189,0
156.0749969,4.699999809,6,212.6239676,0
176,6.349999905,6,180.4963123,0
195.4499969,4.25,8,137.0892785,0
206,4.849999905,8,122.3049207,0
205.0500031,3.299999952,8,108.4184817,0
195.6750031,4.050000191,8,95.01449668,0
183.9499969,2.900000095,8,108.8200136,0
169.1999969,4.050000191,8,108.7851516,0
157.6999969,3.049999952,8,149.2819709,0
145.0500031,4.199999809,8,135.8412023,0
136.1499939,3.049999952,8,150.9933004,0
124.9000015,4.25,8,224.6645482,0
120,3.599999905,6,325.0223033,0
