time,SOI,FQ,Load
7343.76,-5.5,31.9,203.2560677
7343.84,-5.5,31.9,203.2481533
7343.92,-5.5,31.9,203.235312
7344,-5.5,31.9,203.2271779
7344.08,-5.5,31.9,203.2142437
7344.16,-5.5,31.9,203.2071201
7344.24,-5.5,31.9,203.1911789
7344.32,-5.5,31.9,203.1850031
7344.4,-5.5,31.9,203.1759646
7344.48,-5.5,31.9,203.1705644
7344.56,-5.5,31.9,202.8937122
7344.64,-5.5,31.9,203.1434953
7344.72,-5.5,31.9,202.8759458
7344.8,-5.5,31.9,202.8600635
7344.88,-5.5,31.9,202.8556031
7344.96,-5.5,31.9,203.1063502
7345.04,-5.5,31.9,203.100844
7345.12,-5.5,31.9,202.8283546
7345.2,-5.5,31.9,203.0754879
7345.28,-5.5,31.9,203.0693258
7345.36,-5.5,31.9,203.0611774
7345.44,-5.5,31.9,203.0576076
7345.52,-5.5,31.9,202.7802864
7345.6,-5.5,31.9,203.0313227
7345.68,-5.5,31.9,203.0251703
7345.76,-5.5,31.9,202.7514524
7345.84,-5.5,31.9,203.0061886
7345.92,-5.5,31.9,202.7385004
7346,-5.5,31.9,202.9902793
7346.08,-5.5,31.9,202.9807185
7346.16,-5.5,31.9,202.7127968
7346.24,-5.5,31.9,202.9636685
7346.32,-5.5,31.9,202.949496
7346.4,-5.5,31.9,202.944736
7346.48,-5.5,31.9,202.6790097
7346.56,-5.5,31.9,202.673618
7346.64,-5.5,31.9,202.9207927
7346.72,-5.5,31.9,202.6544166
7346.8,-5.5,31.9,202.9048266
7346.88,-5.5,31.9,202.6336972
7346.96,-5.5,31.9,202.8857527
7347.04,-5.5,31.9,202.6217737
7347.12,-5.5,31.9,202.6196762
7347.2,-5.5,31.9,202.8641639
7347.28,-5.5,31.9,202.5955389
7347.36,-5.5,31.9,202.8459411
7347.44,-5.5,31.9,202.8396441
7347.52,-5.5,31.9,202.5801315
7347.6,-5.5,31.9,202.8242928
7347.68,-5.5,31.9,202.8131335
7347.76,-5.5,31.9,202.8070661
7347.84,-5.5,31.9,202.800102
7347.92,-5.5,31.9,202.7960957
7348,-5.5,31.9,202.7862985
7348.08,-5.5,31.9,202.5230358
7348.16,-5.5,31.9,202.5188303
7348.24,-5.5,31.9,202.7627663
7348.32,-5.5,31.9,202.7610035
7348.4,-5.5,31.9,202.7497678
7348.48,-5.5,31.9,202.7396259
7348.56,-5.5,31.9,202.4803907
7348.64,-5.5,31.9,202.4730946
7348.72,-5.5,31.9,202.4671824
7348.8,-5.5,31.9,202.7164099
7348.88,-5.5,31.9,202.45023
7348.96,-5.5,31.9,202.7023175
7349.04,-5.5,31.9,202.6931018
7349.12,-5.5,31.9,202.6882806
7349.2,-5.5,31.9,202.6806344
7349.28,-5.5,31.9,202.6712483
7349.36,-5.5,31.9,202.6669488
7349.44,-5.5,31.9,202.6566053
7349.52,-5.5,31.9,202.4001137
7349.6,-5.5,31.9,202.6426701
7349.68,-5.5,31.9,202.6364697
7349.76,-5.5,31.9,202.6369431
7349.84,-5.5,31.9,202.6234265
7349.92,-5.5,31.9,202.3626042
7350,-5.5,31.9,202.6133551
7350.08,-5.5,31.9,202.6035206
7350.16,-5.5,31.9,202.5986558
7350.24,-5.5,31.9,202.5929892
7350.32,-5.5,31.9,202.5834563
7350.4,-5.5,31.9,202.582388
7350.48,-5.5,31.9,202.5727303
7350.56,-5.5,31.9,202.5683731
7350.64,-5.5,31.9,202.3113858
7350.72,-5.5,31.9,202.3020052
7350.8,-5.5,31.9,202.3011641
7350.88,-5.5,31.9,202.5433663
7350.96,-5.5,31.9,202.5401765
7351.04,-5.5,31.9,202.5354552
7351.12,-5.5,31.9,202.5241396
7351.2,-5.5,31.9,202.5213761
7351.28,-5.5,31.9,202.5149002
7351.36,-5.5,31.9,202.5124422
7351.44,-5.5,31.9,202.5040189
7351.52,-5.5,31.9,202.4976704
7351.6,-5.5,31.9,202.4992885
7351.68,-5.5,31.9,202.4874424
7351.76,-5.5,31.9,202.4814286
7351.84,-5.5,31.9,202.4825812
7351.92,-5.5,31.9,202.4722485
7352,-5.5,31.9,202.2159997
7352.08,-5.5,31.9,202.464895
7352.16,-5.5,31.9,202.4560925
7352.24,-5.5,31.9,202.449943
7352.32,-5.5,31.9,202.1977955
7352.4,-5.5,31.9,202.4385335
7352.48,-5.5,31.9,202.4344138
7352.56,-5.5,31.9,202.4358409
7352.64,-5.5,31.9,202.1750065
7352.72,-5.5,31.9,202.168537
7352.8,-5.5,31.9,202.1742381
7352.88,-5.5,31.9,202.4102675
7352.96,-5.5,31.9,202.1531785
7353.04,-5.5,31.9,202.151184
7353.12,-5.5,31.9,202.3932379
7353.2,-5.5,31.9,202.3905222
7353.28,-5.5,31.9,202.3850046
7353.36,-5.5,31.9,202.3792942
7353.44,-5.5,31.9,202.3810476
7353.52,-5.5,31.9,202.3709565
7353.6,-5.5,31.9,202.3651485
7353.68,-5.5,31.9,202.3633735
7353.76,-5.5,31.9,202.1065314
7353.84,-5.5,31.9,202.102925
7353.92,-5.5,31.9,202.3497242
7354,-5.5,31.9,202.3414802
7354.08,-5.5,31.9,202.3375109
7354.16,-5.5,31.9,202.3360448
7354.24,-5.5,31.9,202.3277855
7354.32,-5.5,31.9,202.0759118
7354.4,-5.5,31.9,202.3226862
7354.48,-5.5,31.9,202.3146819
7354.56,-5.5,31.9,202.3107434
7354.64,-5.5,31.9,202.3097296
7354.72,-5.5,31.9,202.0537604
7354.8,-5.5,31.9,202.2975002
7354.88,-5.5,31.9,202.0489552
7354.96,-5.5,31.9,202.2901499
7355.04,-5.5,31.9,202.2865218
7355.12,-5.5,31.9,202.28682
7355.2,-5.5,31.9,202.2826963
7355.28,-5.5,31.9,202.0257429
7355.36,-5.5,31.9,202.2744311
7355.44,-5.5,31.9,202.0231718
7355.52,-5.5,31.9,202.2605008
7355.6,-5.5,31.9,202.2590366
7355.68,-5.5,31.9,202.2534021
7355.76,-5.5,31.9,202.0024206
7355.84,-5.5,31.9,202.2473519
7355.92,-5.5,31.9,202.2423226
7356,-5.5,31.9,202.2368832
7356.08,-5.5,31.9,202.2346205
7356.16,-5.5,31.9,202.2296467
7356.24,-5.5,31.9,202.2264846
7356.32,-5.5,31.9,202.2255139
7356.4,-5.5,31.9,201.972579
7356.48,-5.5,31.9,202.215452
7356.56,-5.5,31.9,202.2142088
7356.64,-5.5,31.9,201.9623518
7356.72,-5.5,31.9,202.2032352
7356.8,-5.5,31.9,202.2022138
7356.88,-5.5,31.9,202.1974966
7356.96,-5.5,31.9,202.194275
7357.04,-5.5,31.9,202.1926759
7357.12,-5.5,31.9,201.9416637
7357.2,-5.5,31.9,201.9361868
7357.28,-5.5,31.9,202.1808414
7357.36,-5.5,31.9,202.1767907
7357.44,-5.5,31.9,201.9275646
7357.52,-5.5,31.9,202.1718677
7357.6,-5.5,31.9,202.1673905
7357.68,-5.5,31.9,202.1618237
7357.76,-5.5,31.9,201.9163742
7357.84,-5.5,31.9,201.9114815
7357.92,-5.5,31.9,202.1534158
7358,-5.5,31.9,202.1520225
7358.08,-5.5,31.9,201.902556
7358.16,-5.5,31.9,202.1422287
7358.24,-5.5,31.9,202.1417112
7358.32,-5.5,31.9,201.8928675
7358.4,-5.5,31.9,201.8889387
7358.48,-5.5,31.9,202.1330409
7358.56,-5.5,31.9,202.1291339
7358.64,-5.5,31.9,202.1233682
7358.72,-5.5,31.9,201.8787869
7358.8,-5.5,31.9,201.8747066
7358.88,-5.5,31.9,201.8704609
7358.96,-5.5,31.9,202.1150218
7359.04,-5.5,31.9,201.8660284
7359.12,-5.5,31.9,202.1064036
7359.2,-5.5,31.9,201.8614499
7359.28,-5.5,31.9,202.1024492
7359.36,-5.5,31.9,202.0978034
7359.44,-5.5,31.9,201.8527343
7359.52,-5.5,31.9,202.0941059
7359.6,-5.5,31.9,202.0886428
7359.68,-5.5,31.9,202.0891454
7359.76,-5.5,31.9,201.8406248
7359.84,-5.5,31.9,201.8366242
7359.92,-5.5,31.9,199.7246733
7360,-4,31.9,198.758672
7360.08,-4,31.9,198.8973098
7360.16,-4,31.9,198.6347744
7360.24,-4,31.9,198.6327848
7360.32,-4,31.9,198.8929567
7360.4,-4,31.9,198.8938555
7360.48,-4,31.9,198.891788
7360.56,-4,31.9,198.6255119
7360.64,-4,31.9,198.6271081
7360.72,-4,31.9,198.8892093
7360.8,-4,31.9,198.8860413
7360.88,-4,31.9,198.8870904
7360.96,-4,31.9,198.6240964
7361.04,-4,31.9,198.8834501
7361.12,-4,31.9,198.8845057
7361.2,-4,31.9,198.8834626
7361.28,-4,31.9,198.8809834
7361.36,-4,31.9,198.8821594
7361.44,-4,31.9,198.6195114
7361.52,-4,31.9,198.6170513
7361.6,-4,31.9,198.8798518
7361.68,-4,31.9,198.6173348
7361.76,-4,31.9,198.876445
7361.84,-4,31.9,198.6162523
7361.92,-4,31.9,198.6152758
7362,-4,31.9,198.8743211
7362.08,-4,31.9,198.6142502
7362.16,-4,31.9,198.8747115
7362.24,-4,31.9,198.8722695
7362.32,-4,31.9,198.873562
7362.4,-4,31.9,198.6113808
7362.48,-4,31.9,198.8704735
7362.56,-4,31.9,198.8715402
7362.64,-4,31.9,198.8707772
7362.72,-4,31.9,198.6073749
7362.8,-4,31.9,198.8696471
7362.88,-4,31.9,198.6077427
7362.96,-4,31.9,198.8666814
7363.04,-4,31.9,198.8678794
7363.12,-4,31.9,198.8670439
7363.2,-4,31.9,198.6038537
